,Name of Village,Sampled Year,Land Area,Longitude,Lattitude,pH,EC,OC,P,K,S,Zn,Fe,Cu,Mn,B,Fertility Index,Crop Name,Irrigation Pattern,Crop Rotation,Fertilizer Used,Yield Returns,YR(Label)
1321,Cholumgunte Avani Hobli,2016-17,1.0,78.328611184,13.123055584,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,3.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Good,2
1322,Cholumgunte Avani Hobli,2016-17,0.16,78.328611184,13.123055584,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,2.0,High Yield of Millet,Rainfeed,Yes,Organic,High,1
1323,Cholumgunte Avani Hobli,2016-17,2.12,78.328611184,13.123055584,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,4.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
1324,Cholumgunte Avani Hobli,2016-17,0.16,78.328611184,13.123055584,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,3.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Good,2
1325,Cholumgunte Avani Hobli,2016-17,0.19,78.328611184,13.123055584,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,2.0,Millet is Native,Irrigation,Yes,Organic,High,1
1326,Cholumgunte Avani Hobli,2016-17,1.0,78.57083346,13.200277818,4.7,0.22,0.14,34.0,521.0,67.2,2.89,0.85,1.83,10.28,1.6,1.0,Millet is Native,Irrigation,Yes,Organic,High,1
1327,Cholumgunte Avani Hobli,2016-17,2.29,78.57083346,13.200277818,4.7,0.22,0.14,34.0,521.0,67.2,2.89,0.85,1.83,10.28,1.6,2.0,Millet is Native,Irrigation,Yes,Organic,High,1
1328,Cholumgunte Avani Hobli,2016-17,1.0,78.57083346,13.200277818,4.7,0.22,0.14,34.0,521.0,67.2,2.89,0.85,1.83,10.28,1.6,3.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
1329,Cholumgunte Avani Hobli,2016-17,3.8,78.57083346,13.200277818,4.7,0.22,0.14,34.0,521.0,67.2,2.89,0.85,1.83,10.28,1.6,3.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Good,2
1330,Cholumgunte Avani Hobli,2015-16,1.0,78.568333458,13.206388934,7.4,0.04,0.29,6.0,48.0,98.3,0.55,6.2,0.62,9.28,2.0,3.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Good,2
1331,Cholumgunte Avani Hobli,2016-17,3.14,78.57083346,13.200277818,4.7,0.22,0.14,34.0,521.0,67.2,2.89,0.85,1.83,10.28,1.6,3.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
1332,Cholumgunte Avani Hobli,2016-17,3.14,78.57083346,13.200277818,4.7,0.22,0.14,34.0,521.0,67.2,2.89,0.85,1.83,10.28,1.6,4.0,Nilgiri,Rainfeed,No,Organic,Moderate,3
1333,Cholumgunte Avani Hobli,2016-17,0.13,78.319722288,13.119722248,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,2.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
1334,Cholumgunte Avani Hobli,2016-17,0.1,78.319722288,13.119722248,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,2.0,Nilgiri,Rainfeed,No,InOrganic,Moderate,3
1335,Cholumgunte Avani Hobli,2016-17,1.5,78.319722288,13.119722248,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,1.0,Nilgiri,Rainfeed,No,Organic,High,1
1336,Cholumgunte Avani Hobli,2016-17,0.2,78.319722288,13.119722248,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,3.0,Nilgiri,Rainfeed,No,InOrganic,Good,2
1337,Cholumgunte Avani Hobli,2016-17,0.6,78.319722288,13.119722248,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,4.0,Nilgiri,Rainfeed,No,InOrganic,Moderate,3
1338,Cholumgunte Avani Hobli,2016-17,1.1,78.319722288,13.119722248,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,1.0,Nilgiri,Rainfeed,No,InOrganic,Moderate,3
1339,Cholumgunte Avani Hobli,2016-17,0.5,78.319722288,13.119722248,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,4.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
1340,Cholumgunte Avani Hobli,2016-17,0.26,78.319722288,13.119722248,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,3.0,Nilgiri,Rainfeed,No,InOrganic,Good,2
1341,Cholumgunte Avani Hobli,2016-17,0.2,78.319722288,13.119722248,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,3.0,Millet is Native,Irrigation,Yes,InOrganic,Good,2
1342,Cholumgunte Avani Hobli,2016-17,0.9,78.319722288,13.119722248,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,1.0,Millet is Native,Irrigation,Yes,InOrganic,Moderate,3
1343,Cholumgunte Avani Hobli,2016-17,4.0,78.33750007,13.122777806,5.9,1.47,0.16,41.0,218.0,59.0,0.09,3.02,1.07,10.3,0.6,1.0,High Yield of Millet,Rainfeed,Yes,Organic,High,1
1344,Cholumgunte Avani Hobli,2016-17,1.37,78.557777904,13.21666672,5.0,1.83,0.21,22.0,208.0,65.8,0.5,1.1,1.07,10.06,1.0,4.0,Nilgiri,Rainfeed,No,Organic,Moderate,3
1345,Cholumgunte Avani Hobli,2016-17,1.31,78.557777904,13.21666672,5.0,1.83,0.21,22.0,208.0,65.8,0.5,1.1,1.07,10.06,1.0,1.0,Millet is Native,Irrigation,Yes,InOrganic,Moderate,3
1346,Cholumgunte Avani Hobli,2015-16,1.0,78.563333454,13.196944492,7.4,0.04,0.29,6.0,48.0,98.3,0.55,6.21,0.62,9.28,2.0,1.0,Paddy - Local,Irrigation,Yes,Organic,High,1
1347,Cholumgunte Avani Hobli,2016-17,1.32,78.557777904,13.21666672,5.0,1.83,0.21,22.0,208.0,65.8,0.5,1.1,1.07,10.06,1.0,3.0,Millet is Native,Irrigation,Yes,InOrganic,Good,2
1348,Cholumgunte Avani Hobli,2016-17,0.23,78.549166786,13.203888942,5.0,1.22,0.1,57.0,218.0,43.8,0.49,37.7,1.3,64.28,1.5,4.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
1349,Cholumgunte Avani Hobli,2016-17,0.7,78.549166786,13.203888942,5.0,1.22,0.1,57.0,218.0,43.8,0.49,37.7,1.3,64.28,1.5,1.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
1350,Cholumgunte Avani Hobli,2016-17,0.6,78.549166786,13.203888942,5.0,1.22,0.1,57.0,218.0,43.8,0.49,37.7,1.3,64.28,1.5,1.0,Nilgiri,Rainfeed,No,Organic,High,1
1351,Cholumgunte Avani Hobli,2016-17,0.6,78.549166786,13.203888942,5.0,1.22,0.1,57.0,218.0,43.8,0.49,37.7,1.3,64.28,1.5,2.0,High Yield of Millet,Rainfeed,Yes,Organic,High,1
1352,Cholumgunte Avani Hobli,2016-17,0.5,78.549166786,13.203888942,5.0,1.22,0.1,57.0,218.0,43.8,0.49,37.7,1.3,64.28,1.5,2.0,High Yield of Millet,Rainfeed,Yes,Organic,High,1
1353,Cholumgunte Avani Hobli,2016-17,1.22,78.328611184,13.123055584,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,4.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
1354,Cholumgunte Avani Hobli,2016-17,1.2,78.328611184,13.123055584,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,2.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
1355,Cholumgunte Avani Hobli,2016-17,1.27,78.328611184,13.123055584,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,4.0,Coriander greens,Irrigation,No,InOrganic,Moderate,3
1356,Cholumgunte Avani Hobli,2016-17,4.39,78.33750007,13.122777806,5.9,1.47,0.16,41.0,218.0,59.0,0.09,3.02,1.07,10.3,0.6,2.0,Millet is Native,Irrigation,Yes,InOrganic,Moderate,3
1357,Cholumgunte Avani Hobli,2016-17,2.7,78.557777904,13.21666672,5.0,1.83,0.21,22.0,208.0,65.8,0.5,1.1,1.07,10.06,1.0,1.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
1358,Cholumgunte Avani Hobli,2016-17,1.13,78.325833404,13.128888922,5.3,0.26,0.18,50.0,215.0,72.3,0.58,2.15,1.45,13.0,2.2,1.0,Millet is Native,Rainfeed,Yes,InOrganic,Moderate,3
1359,Cholumgunte Avani Hobli,2016-17,1.13,78.325833404,13.128888922,5.3,0.26,0.18,50.0,215.0,72.3,0.58,2.15,1.45,13.0,2.2,4.0,Millet is Native,Rainfeed,Yes,InOrganic,Moderate,3
1360,Cholumgunte Avani Hobli,2016-17,2.0,78.329722296,13.25000013,5.8,1.4,0.19,60.0,204.0,66.3,0.03,5.1,1.34,11.5,0.1,1.0,High Yield of Millet,Rainfeed,Yes,Organic,High,1
1361,Cholumgunte Avani Hobli,2016-17,2.11,78.329722296,13.25000013,5.8,1.4,0.19,60.0,204.0,66.3,0.03,5.1,1.34,11.5,0.1,3.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Good,2
1362,Cholumgunte Avani Hobli,2016-17,2.28,78.329722296,13.25000013,5.8,1.4,0.19,60.0,204.0,66.3,0.03,5.1,1.34,11.5,0.1,2.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
1363,Cholumgunte Avani Hobli,2016-17,2.3,78.331666742,13.131666702,5.6,0.62,0.14,15.0,232.0,85.0,3.86,41.9,2.77,51.17,1.1,3.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
1364,Cholumgunte Avani Hobli,2016-17,2.36,78.328611184,13.123055584,6.9,0.01,0.544,8.0,183.0,140.3,0.71,18.5,1.35,14.5,0.5,1.0,Coriander greens,Irrigation,No,Organic,High,1
1365,Cholumgunte Avani Hobli,2016-17,1.0,78.554722336,13.208611158,4.8,0.66,0.12,54.0,284.0,55.0,0.22,1.15,1.66,9.83,1.9,4.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
1366,Cholumgunte Avani Hobli,2016-17,10.0,78.554722336,13.208611158,4.8,0.66,0.12,54.0,284.0,55.0,0.22,1.15,1.66,9.83,1.9,2.0,High Yield of Millet,Rainfeed,Yes,Organic,High,1
1367,Cholumgunte Avani Hobli,2016-17,6.13,78.554722336,13.208611158,4.8,0.66,0.12,54.0,284.0,55.0,0.22,1.15,1.66,9.83,1.9,3.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Good,2
1368,Cholumgunte Avani Hobli,2016-17,0.23,78.554722336,13.208611158,4.8,0.66,0.12,54.0,284.0,55.0,0.22,1.15,1.66,9.83,1.9,2.0,High Yield of Millet,Rainfeed,Yes,Organic,High,1
1369,Cholumgunte Avani Hobli,2016-17,2.3,78.554722336,13.208611158,4.8,0.66,0.12,54.0,284.0,55.0,0.22,1.15,1.66,9.83,1.9,2.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
1370,Cholumgunte Avani Hobli,2016-17,1.0,78.554722336,13.208611158,4.8,0.66,0.12,54.0,284.0,55.0,0.22,1.15,1.66,9.83,1.9,4.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
1371,Cholumgunte Avani Hobli,2016-17,0.17,78.554722336,13.208611158,4.8,0.66,0.12,54.0,284.0,55.0,0.22,1.15,1.66,9.83,1.9,2.0,High Yield of Millet,Rainfeed,Yes,Organic,High,1
1372,Cholumgunte Avani Hobli,2016-17,2.27,78.563055676,13.216388942,5.1,1.07,0.23,31.0,220.0,68.8,0.49,3.0,1.26,7.83,1.1,3.0,Millet is Native,Irrigation,Yes,InOrganic,Good,2
1373,Cholumgunte Avani Hobli,2016-17,2.21,78.563055676,13.216388942,5.1,1.07,0.23,31.0,220.0,68.8,0.49,3.0,1.26,7.83,1.1,4.0,Millet is Native,Irrigation,Yes,InOrganic,Moderate,3
1374,Cholumgunte Avani Hobli,2016-17,2.21,78.563055676,13.216388942,5.1,1.07,0.23,31.0,220.0,68.8,0.49,3.0,1.26,7.83,1.1,1.0,Millet is Native,Irrigation,Yes,Organic,High,1
1375,Cholumgunte Avani Hobli,2016-17,2.38,78.541111224,13.208888936,5.5,1.14,0.34,46.0,245.0,25.3,2.04,0.23,1.06,5.96,1.2,1.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
1376,Cholumgunte Avani Hobli,2016-17,0.3,78.541111224,13.208888936,5.5,1.14,0.34,46.0,245.0,25.3,2.04,0.23,1.06,5.96,1.2,4.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
1377,Cholumgunte Avani Hobli,2016-17,0.3,78.541111224,13.208888936,5.5,1.14,0.34,46.0,245.0,25.3,2.04,0.23,1.06,5.96,1.2,3.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
1378,Cholumgunte Avani Hobli,2016-17,1.2,78.329722296,13.10972225,6.7,0.07,1.16,119.0,261.0,19.8,1.42,34.05,3.49,21.5,5.5,2.0,Millet is Native,Irrigation,Yes,InOrganic,Moderate,3
1379,Cholumgunte Avani Hobli,2016-17,0.28,78.329722296,13.10972225,6.7,0.07,1.16,119.0,261.0,19.8,1.42,34.05,3.49,21.5,5.5,4.0,Millet is Native,Irrigation,Yes,Organic,Moderate,3
1380,Cholumgunte Avani Hobli,2016-17,1.15,78.329722296,13.10972225,6.7,0.07,1.16,119.0,261.0,19.8,1.42,34.05,3.49,21.5,5.5,1.0,Millet is Native,Irrigation,Yes,Organic,High,1
1381,Cholumgunte Avani Hobli,2016-17,0.28,78.329722296,13.10972225,6.7,0.07,1.16,119.0,261.0,19.8,1.42,34.05,3.49,21.5,5.5,1.0,Millet is Native,Irrigation,Yes,Organic,High,1
1382,Cholumgunte Avani Hobli,2016-17,0.17,78.329722296,13.10972225,6.7,0.07,1.16,119.0,261.0,19.8,1.42,34.05,3.49,21.5,5.5,4.0,Millet is Native,Irrigation,Yes,Organic,Moderate,3
1383,Cholumgunte Avani Hobli,2016-17,0.14,78.329722296,13.10972225,6.7,0.07,1.16,119.0,261.0,19.8,1.42,34.05,3.49,21.5,5.5,4.0,Millet is Native,Irrigation,Yes,Organic,Moderate,3
1384,Cholumgunte Avani Hobli,2016-17,0.14,78.329722296,13.10972225,6.7,0.07,1.16,119.0,261.0,19.8,1.42,34.05,3.49,21.5,5.5,2.0,Millet is Native,Irrigation,Yes,Organic,High,1
1385,Cholumgunte Avani Hobli,2016-17,0.28,78.329722296,13.10972225,6.7,0.07,1.16,119.0,261.0,19.8,1.42,34.05,3.49,21.5,5.5,3.0,Millet is Native,Irrigation,Yes,Organic,Moderate,3
1386,Cholumgunte Avani Hobli,2016-17,0.19,78.329722296,13.10972225,6.7,0.07,1.16,119.0,261.0,19.8,1.42,34.05,3.49,21.5,5.5,3.0,Millet is Native,Irrigation,Yes,InOrganic,Good,2
1387,Cholumgunte Avani Hobli,2016-17,0.18,78.329722296,13.10972225,6.7,0.07,1.16,119.0,261.0,19.8,1.42,34.05,3.49,21.5,5.5,4.0,Millet is Native,Irrigation,Yes,Organic,Moderate,3
1388,Cholumgunte Avani Hobli,2016-17,0.19,78.329722296,13.10972225,6.7,0.07,1.16,119.0,261.0,19.8,1.42,34.05,3.49,21.5,5.5,1.0,Millet is Native,Irrigation,Yes,InOrganic,Moderate,3
1389,Cholumgunte Avani Hobli,2016-17,0.23,78.329722296,13.10972225,6.7,0.07,1.16,119.0,261.0,19.8,1.42,34.05,3.49,21.5,5.5,4.0,Millet is Native,Irrigation,Yes,InOrganic,Moderate,3
1390,Cholumgunte Avani Hobli,2016-17,0.7,78.329722296,13.10972225,6.7,0.07,1.16,119.0,261.0,19.8,1.42,34.05,3.49,21.5,5.5,2.0,Millet is Native,Irrigation,Yes,Organic,High,1
1391,Cholumgunte Avani Hobli,2016-17,1.2,78.329722296,13.10972225,6.7,0.07,1.16,119.0,261.0,19.8,1.42,34.05,3.49,21.5,5.5,4.0,Millet is Native,Irrigation,Yes,Organic,Moderate,3
1392,Cholumgunte Avani Hobli,2016-17,3.0,78.541111224,13.208888936,5.5,1.14,0.34,46.0,245.0,25.3,2.04,0.23,1.06,5.96,1.2,1.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
1393,Cholumgunte Avani Hobli,2016-17,1.3,78.557777904,13.21666672,5.0,1.83,0.21,22.0,208.0,65.8,0.5,1.1,1.07,10.06,1.0,3.0,Nilgiri,Rainfeed,No,InOrganic,Good,2
1394,Cholumgunte Avani Hobli,2016-17,1.8,78.543889014,13.203888942,5.2,1.29,0.18,48.0,310.0,57.2,0.41,0.46,1.49,17.7,0.6,2.0,Millet is Native,Irrigation,Yes,Organic,High,1
1395,Cholumgunte Avani Hobli,2016-17,0.25,78.345555632,13.114166698,7.3,0.07,0.308,12.0,287.0,50.1,0.28,11.94,0.73,11.01,0.1,1.0,Nilgiri,Rainfeed,No,Organic,High,1
1396,Cholumgunte Avani Hobli,2018-19,1.2,78.21674,13.02914,6.2,0.59,0.87,46.0,112.0,37.2,0.78,17.26,1.17,40.19,0.7,3.0,Fallen/harvested area,Irrigation,Yes,InOrganic,Good,2
1397,Cholumgunte Avani Hobli,2017-18,3.4,78.57083346,13.200277818,7.7,0.54,0.19,22.0,550.0,60.6,0.68,5.14,0.31,6.23,0.6,4.0,Fallen/harvested area,Rainfeed,Yes,Organic,Moderate,3
1398,Cholumgunte Avani Hobli,2017-18,0.39,78.57083346,13.200277818,7.7,0.54,0.19,22.0,550.0,60.6,0.68,5.14,0.31,6.23,0.6,2.0,Millet is indigenous,Rainfeed,Yes,InOrganic,Moderate,3
1399,Cholumgunte Avani Hobli,2017-18,1.28,78.57083346,13.200277818,7.7,0.54,0.19,22.0,550.0,60.6,0.68,5.14,0.31,6.23,0.6,2.0,Millet is indigenous,Rainfeed,Yes,Organic,High,1
1400,Cholumgunte Avani Hobli,2017-18,1.33,78.57083346,13.200277818,7.7,0.54,0.19,22.0,550.0,60.6,0.68,5.14,0.31,6.23,0.6,1.0,Millet is indigenous,Rainfeed,Yes,InOrganic,Moderate,3
1401,Cholumgunte Avani Hobli,2018-19,1.0,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,3.0,Millet is indigenous,Irrigation,Yes,InOrganic,Good,2
1402,Cholumgunte Avani Hobli,2018-19,0.16,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,3.0,Millet is indigenous,Irrigation,Yes,Organic,Moderate,3
1403,Cholumgunte Avani Hobli,2018-19,0.16,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,2.0,Millet is indigenous,Irrigation,Yes,Organic,High,1
1404,Cholumgunte Avani Hobli,2018-19,1.2,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,2.0,Millet is indigenous,Irrigation,Yes,Organic,High,1
1405,Cholumgunte Avani Hobli,2018-19,1.7,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,2.0,Mango,Rainfeed,No,InOrganic,Moderate,3
1406,Cholumgunte Avani Hobli,2018-19,1.2,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,1.0,Millet is indigenous,Rainfeed,No,InOrganic,Moderate,3
1407,Cholumgunte Avani Hobli,2018-19,0.16,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,4.0,Millet is indigenous,Irrigation,Yes,Organic,Moderate,3
1408,Cholumgunte Avani Hobli,2018-19,2.1,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,4.0,Millet is indigenous,Rainfeed,Yes,InOrganic,Moderate,3
1409,Cholumgunte Avani Hobli,2018-19,1.36,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,2.0,Millet is indigenous,Rainfeed,Yes,Organic,High,1
1410,Cholumgunte Avani Hobli,2018-19,0.16,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,1.0,Fallen/harvested area,Rainfeed,Yes,Organic,High,1
1411,Cholumgunte Avani Hobli,2018-19,0.16,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,2.0,Fallen/harvested area,Rainfeed,Yes,InOrganic,Moderate,3
1412,Cholumgunte Avani Hobli,2018-19,0.16,78.336389,13.119723,7.0,6.9,1.26,73.58591265397536,3.1,261.0,2.8,0.1,43.13,13.09,0.93,1.0,Fallen/harvested area,Rainfeed,No,Organic,High,1
1413,Cholumgunte Avani Hobli,2018-19,0.33,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,2.0,Fallen/harvested area,Irrigation,Yes,Organic,High,1
1414,Cholumgunte Avani Hobli,2018-19,0.15,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,4.0,Fallen/harvested area,Irrigation,Yes,Organic,Moderate,3
1415,Cholumgunte Avani Hobli,2018-19,0.28,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,3.0,Fallen/harvested area,Irrigation,No,InOrganic,Good,2
1416,Cholumgunte Avani Hobli,2018-19,1.33,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,4.0,Fallen/harvested area,Irrigation,No,Organic,Moderate,3
1417,Cholumgunte Avani Hobli,2018-19,1.28,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,3.0,Fallen/harvested area,Irrigation,No,Organic,Moderate,3
1418,Cholumgunte Avani Hobli,2018-19,0.33,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,2.0,Fallen/harvested area,Rainfeed,Yes,InOrganic,Moderate,3
1419,Cholumgunte Avani Hobli,2018-19,1.16,78.57083346,13.203333386,5.7,0.28,0.34,30.0,172.0,39.0,86.0,25.44,1.06,34.12,0.9,1.0,Fallen/harvested area,Rainfeed,Yes,Organic,High,1
1420,Cholumgunte Avani Hobli,2018-19,1.1,78.34583341,13.122777806,5.1,0.57,0.28,6.0,108.0,27.0,1.22,26.71,0.96,45.98,0.5,4.0,Fallen/harvested area,Irrigation,Yes,InOrganic,Moderate,3
1421,Cholumgunte Avani Hobli,2018-19,1.15,78.34583341,13.122777806,5.1,0.57,0.28,6.0,108.0,27.0,1.22,26.71,0.96,45.98,0.5,2.0,Fallen/harvested area,Irrigation,Yes,Organic,High,1
1422,Cholumgunte Avani Hobli,2018-19,1.3,78.34583341,13.122777806,5.1,0.57,0.28,6.0,108.0,27.0,1.22,26.71,0.96,45.98,0.5,2.0,Fallen/harvested area,Irrigation,Yes,Organic,High,1
1423,Cholumgunte Avani Hobli,2018-19,2.0,78.34583341,13.122777806,5.1,0.57,0.28,6.0,108.0,27.0,1.22,26.71,0.96,45.98,0.5,3.0,Fallen/harvested area,Rainfeed,Yes,InOrganic,Good,2
1424,Cholumgunte Avani Hobli,2018-19,2.5,78.34583341,13.122777806,5.1,0.57,0.28,6.0,108.0,27.0,1.22,26.71,0.96,45.98,0.5,1.0,Fallen/harvested area,Rainfeed,Yes,Organic,High,1
1425,Cholumgunte Avani Hobli,2018-19,2.1,78.34583341,13.122777806,5.1,0.57,0.28,6.0,108.0,27.0,1.22,26.71,0.96,45.98,0.5,4.0,Fallen/harvested area,Rainfeed,Yes,Organic,Moderate,3
1426,Cholumgunte Avani Hobli,2018-19,0.8,78.34583341,13.122777806,5.1,0.57,0.28,6.0,108.0,27.0,1.22,26.71,0.96,45.98,0.5,2.0,Fallen/harvested area,Rainfeed,Yes,InOrganic,Moderate,3
1427,Cholumgunte Avani Hobli,2018-19,0.39,78.34583341,13.122777806,5.1,0.57,0.28,6.0,108.0,27.0,1.22,26.71,0.96,45.98,0.5,3.0,Fallen/harvested area,Rainfeed,Yes,InOrganic,Good,2
1428,Cholumgunte Avani Hobli,2018-19,0.2,78.34583341,13.122777806,5.1,0.57,0.28,6.0,108.0,27.0,1.22,26.71,0.96,45.98,0.5,3.0,Fallen/harvested area,Irrigation,Yes,InOrganic,Good,2
1429,Cholumgunte Avani Hobli,2018-19,1.5,78.34583341,13.122777806,5.1,0.57,0.28,6.0,108.0,27.0,1.22,26.71,0.96,45.98,0.5,3.0,Fallen/harvested area,Irrigation,Yes,InOrganic,Good,2
1430,Cholumgunte Avani Hobli,2018-19,0.28,78.34583341,13.122777806,5.1,0.57,0.28,6.0,108.0,27.0,1.22,26.71,0.96,45.98,0.5,3.0,Fallen/harvested area,Irrigation,Yes,Organic,Moderate,3
1431,Cholumgunte Avani Hobli,2018-19,0.24,78.34583341,13.122777806,5.1,0.57,0.28,6.0,108.0,27.0,1.22,26.71,0.96,45.98,0.5,4.0,Fallen/harvested area,Rainfeed,Yes,Organic,Moderate,3
1432,Cholumgunte Avani Hobli,2017-18,2.6,78.345555632,13.114166698,7.8,0.57,0.22,41.0,511.0,27.2,0.53,9.43,0.61,11.71,0.5,4.0,Fallen/harvested area,Rainfeed,No,Organic,Moderate,3
1433,Cholumgunte Avani Hobli,2017-18,2.6,78.345555632,13.114166698,7.8,0.57,0.22,41.0,511.0,27.2,0.53,9.43,0.61,11.71,0.5,1.0,Fallen/harvested area,Rainfeed,Yes,Organic,High,1
1434,Cholumgunte Avani Hobli,2017-18,0.33,78.345555632,13.114166698,7.8,0.57,0.22,41.0,511.0,27.2,0.53,9.43,0.61,11.71,0.5,2.0,Fallen/harvested area,Rainfeed,Yes,Organic,High,1
1435,Cholumgunte Avani Hobli,2017-18,0.33,78.345555632,13.114166698,7.8,0.57,0.22,41.0,511.0,27.2,0.53,9.43,0.61,11.71,0.5,3.0,Fallen/harvested area,Rainfeed,Yes,InOrganic,Good,2
1436,Cholumgunte Avani Hobli,2017-18,2.23,78.345555632,13.114166698,7.8,0.57,0.22,41.0,511.0,27.2,0.53,9.43,0.61,11.71,0.5,4.0,Fallen/harvested area,Rainfeed,Yes,Organic,Moderate,3
1437,Cholumgunte Avani Hobli,2017-18,1.2,78.345555632,13.114166698,7.8,0.57,0.22,41.0,511.0,27.2,0.53,9.43,0.61,11.71,0.5,3.0,Fallen/harvested area,Rainfeed,Yes,InOrganic,Good,2
1438,Cholumgunte Avani Hobli,2017-18,0.26,78.345555632,13.114166698,7.8,0.57,0.22,41.0,511.0,27.2,0.53,9.43,0.61,11.71,0.5,3.0,Fallen/harvested area,Irrigation,Yes,InOrganic,Good,2
1439,Cholumgunte Avani Hobli,2017-18,0.5,78.345555632,13.114166698,7.8,0.57,0.22,41.0,511.0,27.2,0.53,9.43,0.61,11.71,0.5,2.0,Fallen/harvested area,Rainfeed,Yes,Organic,High,1
